# OpenSignals Text File Format. Version 1
# {"98:D3:91:FD:55:F3": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:91:FD:55:F3", "device connection": "BTH98:D3:91:FD:55:F3", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1281, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2021-9-22", "time": "12:14:39.520", "channels": [1], "sensor": ["EMGBITREV"], "label": ["A1"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	509	
1	0	0	0	0	509	
2	0	0	0	0	503	
3	0	0	0	0	502	
4	0	0	0	0	497	
5	0	0	0	0	503	
6	0	0	0	0	499	
7	0	0	0	0	496	
8	0	0	0	0	500	
9	0	0	0	0	509	
10	0	0	0	0	514	
11	0	0	0	0	518	
12	0	0	0	0	521	
13	0	0	0	0	524	
14	0	0	0	0	528	
15	0	0	0	0	523	
0	0	0	0	0	516	
1	0	0	0	0	512	
2	0	0	0	0	511	
3	0	0	0	0	510	
4	0	0	0	0	510	
5	0	0	0	0	506	
6	0	0	0	0	504	
7	0	0	0	0	501	
8	0	0	0	0	500	
9	0	0	0	0	499	
10	0	0	0	0	500	
11	0	0	0	0	504	
12	0	0	0	0	510	
13	0	0	0	0	510	
14	0	0	0	0	511	
15	0	0	0	0	516	
0	0	0	0	0	519	
1	0	0	0	0	522	
2	0	0	0	0	527	
3	0	0	0	0	529	
4	0	0	0	0	518	
5	0	0	0	0	516	
6	0	0	0	0	510	
7	0	0	0	0	514	
8	0	0	0	0	509	
9	0	0	0	0	506	
10	0	0	0	0	507	
11	0	0	0	0	496	
12	0	0	0	0	490	
13	0	0	0	0	496	
14	0	0	0	0	502	
15	0	0	0	0	506	
0	0	0	0	0	508	
1	0	0	0	0	515	
2	0	0	0	0	518	
3	0	0	0	0	519	
4	0	0	0	0	521	
5	0	0	0	0	515	
6	0	0	0	0	519	
7	0	0	0	0	522	
8	0	0	0	0	519	
9	0	0	0	0	518	
10	0	0	0	0	516	
11	0	0	0	0	510	
12	0	0	0	0	507	
13	0	0	0	0	507	
14	0	0	0	0	499	
15	0	0	0	0	499	
0	0	0	0	0	497	
1	0	0	0	0	496	
2	0	0	0	0	500	
3	0	0	0	0	507	
4	0	0	0	0	510	
5	0	0	0	0	513	
6	0	0	0	0	515	
7	0	0	0	0	517	
8	0	0	0	0	519	
9	0	0	0	0	523	
10	0	0	0	0	524	
11	0	0	0	0	523	
12	0	0	0	0	523	
13	0	0	0	0	518	
14	0	0	0	0	511	
15	0	0	0	0	506	
0	0	0	0	0	506	
1	0	0	0	0	507	
2	0	0	0	0	504	
3	0	0	0	0	503	
4	0	0	0	0	497	
5	0	0	0	0	501	
6	0	0	0	0	504	
7	0	0	0	0	503	
8	0	0	0	0	506	
9	0	0	0	0	513	
10	0	0	0	0	514	
11	0	0	0	0	516	
12	0	0	0	0	518	
13	0	0	0	0	526	
14	0	0	0	0	524	
15	0	0	0	0	521	
0	0	0	0	0	523	
1	0	0	0	0	515	
2	0	0	0	0	508	
3	0	0	0	0	506	
4	0	0	0	0	504	
5	0	0	0	0	506	
6	0	0	0	0	502	
7	0	0	0	0	499	
8	0	0	0	0	494	
9	0	0	0	0	499	
10	0	0	0	0	500	
11	0	0	0	0	504	
12	0	0	0	0	509	
13	0	0	0	0	515	
14	0	0	0	0	518	
15	0	0	0	0	522	
0	0	0	0	0	523	
1	0	0	0	0	526	
2	0	0	0	0	527	
3	0	0	0	0	525	
4	0	0	0	0	522	
5	0	0	0	0	516	
6	0	0	0	0	511	
7	0	0	0	0	512	
8	0	0	0	0	507	
9	0	0	0	0	503	
10	0	0	0	0	497	
11	0	0	0	0	492	
12	0	0	0	0	494	
13	0	0	0	0	501	
14	0	0	0	0	501	
15	0	0	0	0	504	
0	0	0	0	0	509	
1	0	0	0	0	512	
2	0	0	0	0	511	
3	0	0	0	0	515	
4	0	0	0	0	522	
5	0	0	0	0	526	
6	0	0	0	0	531	
7	0	0	0	0	524	
8	0	0	0	0	516	
9	0	0	0	0	517	
10	0	0	0	0	513	
11	0	0	0	0	505	
12	0	0	0	0	509	
13	0	0	0	0	501	
14	0	0	0	0	504	
15	0	0	0	0	501	
0	0	0	0	0	501	
1	0	0	0	0	500	
2	0	0	0	0	500	
3	0	0	0	0	506	
4	0	0	0	0	510	
5	0	0	0	0	515	
6	0	0	0	0	520	
7	0	0	0	0	519	
8	0	0	0	0	517	
9	0	0	0	0	519	
10	0	0	0	0	518	
11	0	0	0	0	519	
12	0	0	0	0	515	
13	0	0	0	0	515	
14	0	0	0	0	512	
15	0	0	0	0	511	
0	0	0	0	0	507	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	498	
4	0	0	0	0	497	
5	0	0	0	0	498	
6	0	0	0	0	502	
7	0	0	0	0	508	
8	0	0	0	0	512	
9	0	0	0	0	505	
10	0	0	0	0	509	
11	0	0	0	0	516	
12	0	0	0	0	519	
13	0	0	0	0	521	
14	0	0	0	0	521	
15	0	0	0	0	524	
0	0	0	0	0	523	
1	0	0	0	0	519	
2	0	0	0	0	514	
3	0	0	0	0	511	
4	0	0	0	0	505	
5	0	0	0	0	503	
6	0	0	0	0	502	
7	0	0	0	0	498	
8	0	0	0	0	498	
9	0	0	0	0	502	
10	0	0	0	0	503	
11	0	0	0	0	503	
12	0	0	0	0	510	
13	0	0	0	0	517	
14	0	0	0	0	515	
15	0	0	0	0	519	
0	0	0	0	0	512	
1	0	0	0	0	518	
2	0	0	0	0	526	
3	0	0	0	0	523	
4	0	0	0	0	517	
5	0	0	0	0	518	
